"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680264425464000E9,"2023-03-31 20:07:05.464 UTC+08:00"
"PAUSE",6.794431666657329E1,1.680264493408000E9,"2023-03-31 20:08:13.408 UTC+08:00"
