"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679461817461000E9,"2023-03-22 13:10:17.461 UTC+08:00"
"PAUSE",9.727258574997540E1,1.679461914733000E9,"2023-03-22 13:11:54.733 UTC+08:00"
