"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679890744262000E9,"2023-03-27 12:19:04.262 UTC+08:00"
"PAUSE",1.055479445820674E1,1.679890754816000E9,"2023-03-27 12:19:14.816 UTC+08:00"
