"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680352370527000E9,"2023-04-01 20:32:50.527 UTC+08:00"
"PAUSE",3.211829162505455E1,1.680352402645000E9,"2023-04-01 20:33:22.645 UTC+08:00"
