"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680264219413000E9,"2023-03-31 20:03:39.413 UTC+08:00"
"PAUSE",2.103729554172605E1,1.680264240451000E9,"2023-03-31 20:04:00.451 UTC+08:00"
"START",2.103729554172605E1,1.680264268428000E9,"2023-03-31 20:04:28.428 UTC+08:00"
"PAUSE",3.319314300012775E1,1.680264280583000E9,"2023-03-31 20:04:40.583 UTC+08:00"
"START",3.319314300012775E1,1.680264301786000E9,"2023-03-31 20:05:01.786 UTC+08:00"
"PAUSE",5.950447529158555E1,1.680264328097000E9,"2023-03-31 20:05:28.097 UTC+08:00"
