"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679644681545000E9,"2023-03-24 15:58:01.545 UTC+08:00"
"PAUSE",4.249004591652192E1,1.679644724035000E9,"2023-03-24 15:58:44.035 UTC+08:00"
