"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680263998024000E9,"2023-03-31 19:59:58.024 UTC+08:00"
"PAUSE",1.145375062501989E1,1.680264009478000E9,"2023-03-31 20:00:09.478 UTC+08:00"
"START",1.145375062501989E1,1.680264016906000E9,"2023-03-31 20:00:16.906 UTC+08:00"
"PAUSE",2.426009441679344E1,1.680264029713000E9,"2023-03-31 20:00:29.713 UTC+08:00"
"START",2.426009441679344E1,1.680264077142000E9,"2023-03-31 20:01:17.142 UTC+08:00"
"PAUSE",4.994152483344078E1,1.680264102823000E9,"2023-03-31 20:01:42.823 UTC+08:00"
