"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680263236084000E9,"2023-03-31 19:47:16.084 UTC+08:00"
"PAUSE",2.773385166679509E1,1.680263263817000E9,"2023-03-31 19:47:43.817 UTC+08:00"
"START",2.773385166679509E1,1.680263290425000E9,"2023-03-31 19:48:10.425 UTC+08:00"
"PAUSE",3.748453695839271E1,1.680263300176000E9,"2023-03-31 19:48:20.176 UTC+08:00"
"START",3.748453695839271E1,1.680263326401000E9,"2023-03-31 19:48:46.401 UTC+08:00"
"PAUSE",4.818886083341204E1,1.680263337105000E9,"2023-03-31 19:48:57.105 UTC+08:00"
