"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679461261284000E9,"2023-03-22 13:01:01.284 UTC+08:00"
"PAUSE",2.052426492499653E2,1.679461466526000E9,"2023-03-22 13:04:26.526 UTC+08:00"
