"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679890559707000E9,"2023-03-27 12:15:59.707 UTC+08:00"
"PAUSE",1.259183329180814E1,1.679890572299000E9,"2023-03-27 12:16:12.299 UTC+08:00"
