"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679891009604000E9,"2023-03-27 12:23:29.604 UTC+08:00"
"PAUSE",7.414824958192185E0,1.679891017019000E9,"2023-03-27 12:23:37.019 UTC+08:00"
