"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679890511775000E9,"2023-03-27 12:15:11.775 UTC+08:00"
"PAUSE",1.344362749997526E1,1.679890525219000E9,"2023-03-27 12:15:25.219 UTC+08:00"
