"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680263593844000E9,"2023-03-31 19:53:13.844 UTC+08:00"
"PAUSE",1.629705583327450E1,1.680263610141000E9,"2023-03-31 19:53:30.141 UTC+08:00"
"START",1.629705583327450E1,1.680263635350000E9,"2023-03-31 19:53:55.350 UTC+08:00"
"PAUSE",2.799772033328190E1,1.680263647051000E9,"2023-03-31 19:54:07.051 UTC+08:00"
