"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680350062432000E9,"2023-04-01 19:54:22.432 UTC+08:00"
"PAUSE",5.849330858327448E1,1.680350120925000E9,"2023-04-01 19:55:20.925 UTC+08:00"
