"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679545550791000E9,"2023-03-23 12:25:50.791 UTC+08:00"
"PAUSE",1.071941150003113E1,1.679545561510000E9,"2023-03-23 12:26:01.510 UTC+08:00"
