"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679644380501000E9,"2023-03-24 15:53:00.501 UTC+08:00"
"PAUSE",1.112895860832650E2,1.679644491791000E9,"2023-03-24 15:54:51.791 UTC+08:00"
