"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679457428949000E9,"2023-03-22 11:57:08.949 UTC+08:00"
"PAUSE",8.076763158338144E1,1.679457509716000E9,"2023-03-22 11:58:29.716 UTC+08:00"
