"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679456789490000E9,"2023-03-22 11:46:29.490 UTC+08:00"
"PAUSE",1.146699379174970E1,1.679456800957000E9,"2023-03-22 11:46:40.957 UTC+08:00"
