"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679389930079000E9,"2023-03-21 17:12:10.079 UTC+08:00"
"PAUSE",2.026910142916022E2,1.679390132769000E9,"2023-03-21 17:15:32.769 UTC+08:00"
