"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679457024052000E9,"2023-03-22 11:50:24.052 UTC+08:00"
"PAUSE",2.354909993333276E2,1.679457259541000E9,"2023-03-22 11:54:19.541 UTC+08:00"
