"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680349137924000E9,"2023-04-01 19:38:57.924 UTC+08:00"
"PAUSE",5.028700270829722E1,1.680349188210000E9,"2023-04-01 19:39:48.210 UTC+08:00"
