"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679456570554000E9,"2023-03-22 11:42:50.554 UTC+08:00"
"PAUSE",1.708799337915843E2,1.679456741432000E9,"2023-03-22 11:45:41.432 UTC+08:00"
