"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679644586950000E9,"2023-03-24 15:56:26.950 UTC+08:00"
"PAUSE",1.260563837504014E1,1.679644599556000E9,"2023-03-24 15:56:39.556 UTC+08:00"
