"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680351579258000E9,"2023-04-01 20:19:39.258 UTC+08:00"
"PAUSE",5.676230000099167E0,1.680351584934000E9,"2023-04-01 20:19:44.934 UTC+08:00"
"START",5.676230000099167E0,1.680351593695000E9,"2023-04-01 20:19:53.695 UTC+08:00"
"PAUSE",4.595410516671836E1,1.680351633972000E9,"2023-04-01 20:20:33.972 UTC+08:00"
"START",4.595410516671836E1,1.680351640516000E9,"2023-04-01 20:20:40.516 UTC+08:00"
"PAUSE",9.089364358340390E1,1.680351685455000E9,"2023-04-01 20:21:25.455 UTC+08:00"
