"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679890857101000E9,"2023-03-27 12:20:57.101 UTC+08:00"
"PAUSE",1.282311074994504E1,1.679890869924000E9,"2023-03-27 12:21:09.924 UTC+08:00"
