"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679461613788000E9,"2023-03-22 13:06:53.788 UTC+08:00"
"PAUSE",1.799193186250050E2,1.679461793706000E9,"2023-03-22 13:09:53.706 UTC+08:00"
