"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679545481585000E9,"2023-03-23 12:24:41.585 UTC+08:00"
"PAUSE",1.161993925005663E1,1.679545493205000E9,"2023-03-23 12:24:53.205 UTC+08:00"
