"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679639249658000E9,"2023-03-24 14:27:29.658 UTC+08:00"
"PAUSE",3.321954312918242E2,1.679639581915000E9,"2023-03-24 14:33:01.915 UTC+08:00"
