"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680351878269000E9,"2023-04-01 20:24:38.269 UTC+08:00"
"PAUSE",6.593956750119105E0,1.680351884863000E9,"2023-04-01 20:24:44.863 UTC+08:00"
"START",6.593956750119105E0,1.680351898682000E9,"2023-04-01 20:24:58.682 UTC+08:00"
"PAUSE",3.815898670838214E1,1.680351930247000E9,"2023-04-01 20:25:30.247 UTC+08:00"
"START",3.815898670838214E1,1.680351934903000E9,"2023-04-01 20:25:34.903 UTC+08:00"
"PAUSE",4.493535725004040E1,1.680351941680000E9,"2023-04-01 20:25:41.680 UTC+08:00"
"START",4.493535725004040E1,1.680351951142000E9,"2023-04-01 20:25:51.142 UTC+08:00"
"PAUSE",9.494178820843808E1,1.680352001148000E9,"2023-04-01 20:26:41.148 UTC+08:00"
