"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679463821101000E9,"2023-03-22 13:43:41.101 UTC+08:00"
"PAUSE",1.085315720830113E1,1.679463831954000E9,"2023-03-22 13:43:51.954 UTC+08:00"
